# BEARING sample sheet (TSV). Columns:
#   sample      unique id (e.g. DN_rep1). Leave blank for Hi-C-only conditions.
#   condition   grouping for differentials (DN, DP, ...)
#   replicate   1, 2, ... (blank for Hi-C-only rows)
#   out         per-sample qcat output name (BEARING rows only)
#   bw          comma-separated BigWigs in panel order:
#               ATAC,RNAseq+,RNAseq-,CTCF,Cohesin,H3K27ac
#   cool,insul,pca1   OPTIONAL Hi-C inputs, per condition, with a {res}
#   loops       OPTIONAL per-condition Mustache loop BEDPE (merged across
#               resolutions; no {res}). Shown as arcs on Hi-C figures.
#               placeholder for resolution. Fill once per condition (rep1 row).
#               Leave all three blank to run BEARING without Hi-C.
#
# Rows with a non-empty bw are BEARING samples (scored). Rows with non-empty
# cool define Hi-C conditions (used by the Hi-C analyses and figures). A
# condition may have both (DN..S3T3) or be Hi-C-only (dV1P, dV1CTCF).
sample	condition	replicate	out	bw	cool	insul	pca1	loops	resolutions
DN_rep1	DN	1	DN_rep1.qcat.bgz	../bigwigs/ATAC/BNR1_DN1.bw,../bigwigs/RNA-seq/R1_3_fwd_no_bl_CPM.bw,../bigwigs/RNA-seq/R1_3_rev_no_bl_CPM.bw,../bigwigs/CTCF/HTS_S070_11_BR1_CTCF_DN1_B.bw,../bigwigs/Rad21/R1KO_Rad210712CR_DN_1.bw,../bigwigs/H3K27ac/R1KO_H3K27ac0727CR_DN_1.bw	../hic_files/merged_corrected_KR_DN_bs_{res}.cool	../../projects/HiC_V31_NT_allele/data/endpoints/HiC_explorer_mm10/07tad/merged_corrected_KR_DN_bs_{res}_tad_score.bm	../comp/merged_corrected_KR_DN_bs_{res}_pca1.bw	../../projects/HiC_V31_NT_allele/data/endpoints/HiC_explorer_mm10/09loop/merged_DN_loops_all_resolutions.bedpe	
DN_rep2	DN	2	DN_rep2.qcat.bgz	../bigwigs/ATAC/BNR1_DN2.bw,../bigwigs/RNA-seq/R1_4_fwd_no_bl_CPM.bw,../bigwigs/RNA-seq/R1_4_rev_no_bl_CPM.bw,../bigwigs/CTCF/R1KO_CTCF0905CR_DN_2.bw,../bigwigs/Rad21/R1KO_Rad210712CR_DN_2.bw,../bigwigs/H3K27ac/R1KO_H3K27ac0727CR_DN_2.bw	../../projects/HiC_V31_NT_allele/data/endpoints/HiC_explorer_mm10/09loop/merged_DN_loops_all_resolutions.bedpe
EbKO_rep1	EbKO	1	EbKO_rep1.qcat.bgz	../bigwigs/ATAC/HTS_SO63_16_R1Eb_DN1_S16.bw,../bigwigs/RNA-seq/EbKO_1_fwd_no_bl_CPM.bw,../bigwigs/RNA-seq/EbKO_1_rev_no_bl_CPM.bw,../bigwigs/CTCF/HTS_SO85_12_EbKO_CTCF1206CR_DN_1_S12.bw,../bigwigs/Rad21/HTS_SO85_10_EbKO_Rad211206CR_DN_3_S10.bw,../bigwigs/H3K27ac/EbKO_H3K27ac10727CR_DN_1.bw	../hic_files/merged_corrected_KR_EBKO_bs_{res}.cool	../../projects/HiC_V31_NT_allele/data/endpoints/HiC_explorer_mm10/07tad/merged_corrected_KR_EBKO_bs_{res}_tad_score.bm	../comp/merged_corrected_KR_EbKO_bs_{res}_pca1.bw	../../projects/HiC_V31_NT_allele/data/endpoints/HiC_explorer_mm10/09loop/merged_EBKO_loops_all_resolutions.bedpe	
EbKO_rep2	EbKO	2	EbKO_rep2.qcat.bgz	../bigwigs/ATAC/HTS_SO63_17_R1Eb_DN2_S17.bw,../bigwigs/RNA-seq/EbKO_2_fwd_no_bl_CPM.bw,../bigwigs/RNA-seq/EbKO_2_rev_no_bl_CPM.bw,../bigwigs/CTCF/HTS_SO85_22_EbKO_CTCF1212CR_DN_2_S22.bw,../bigwigs/Rad21/HTS_SO85_20_EbKO_Rad211212CR_DN_4_S20.bw,../bigwigs/H3K27ac/EbKO_H3K27ac10727CR_DN_2.bw	../../projects/HiC_V31_NT_allele/data/endpoints/HiC_explorer_mm10/09loop/merged_EBKO_loops_all_resolutions.bedpe				
DP_rep1	DP	1	DP_rep1.qcat.bgz	../bigwigs/ATAC/HTS_SO63_26_BR1_DP1_S26.bw,../bigwigs/RNA-seq/DP_3_fwd_no_bl_CPM.bw,../bigwigs/RNA-seq/DP_3_rev_no_bl_CPM.bw,../bigwigs/CTCF/HTS_SO85_25_iR1KO_CTCF1212CR_DP_1_S25.bw,../bigwigs/Rad21/HTS_SO85_23_iR1KO_Rad211212CR_DP_1_S23.bw,../bigwigs/H3K27ac/HTS_SO85_26_iR1KO_H3K27ac1212CR_DP_1_S26.bw	../hic_files/merged_corrected_KR_DP_bs_{res}.cool	../../projects/HiC_V31_NT_allele/data/endpoints/HiC_explorer_mm10/07tad/merged_corrected_KR_DP_bs_{res}_tad_score.bm	../comp/merged_corrected_KR_DP_bs_{res}_pca1.bw	../../projects/HiC_V31_NT_allele/data/endpoints/HiC_explorer_mm10/09loop/merged_DP_loops_all_resolutions.bedpe	
DP_rep2	DP	2	DP_rep2.qcat.bgz	../bigwigs/ATAC/HTS_SO63_27_BR1_DP2_S27.bw,../bigwigs/RNA-seq/DP_4_fwd_no_bl_CPM.bw,../bigwigs/RNA-seq/DP_4_rev_no_bl_CPM.bw,../bigwigs/CTCF/HTS_SO85_29_iR1KO_CTCF1212CR_DP_2_S29.bw,../bigwigs/Rad21/HTS_SO85_27_iR1KO_Rad211212CR_DP_2_S27.bw,../bigwigs/H3K27ac/HTS_SO85_30_iR1KO_H3K27ac1212CR_DP_2_S30.bw	../../projects/HiC_V31_NT_allele/data/endpoints/HiC_explorer_mm10/09loop/merged_DP_loops_all_resolutions.bedpe				
ProB_rep1	ProB	1	ProB_rep1.qcat.bgz	../bigwigs/ATAC/ProB_ATAC_rep1.bw,../bigwigs/RNA-seq/ProB_2_fwd_no_bl_CPM.bw,../bigwigs/RNA-seq/ProB_2_rev_no_bl_CPM.bw,../bigwigs/CTCF/HTS_S070_23_BR1_CTCF_ProB1_B.bw,../bigwigs/Rad21/ProB_Rad21_ChIP_public_GSM987806.bw,../bigwigs/H3K27ac/ProB_H3K27ac_ChIP_rep2.bw	../hic_files/merged_corrected_KR_ProB_bs_{res}.cool	../../projects/HiC_V31_NT_allele/data/endpoints/HiC_explorer_mm10/07tad/merged_corrected_KR_ProB_bs_{res}_tad_score.bm	../comp/merged_corrected_KR_ProB_bs_{res}_pca1.bw	../../projects/HiC_V31_NT_allele/data/endpoints/HiC_explorer_mm10/09loop/merged_ProB_loops_all_resolutions.bedpe	
ProB_rep2	ProB	2	ProB_rep2.qcat.bgz	../bigwigs/ATAC/ProB_ATAC_rep3.bw,../bigwigs/RNA-seq/ProB_3_fwd_no_bl_CPM.bw,../bigwigs/RNA-seq/ProB_3_rev_no_bl_CPM.bw,../bigwigs/CTCF/ProB_CTCF_ChIP_public_GSM1145865.bw,../bigwigs/Rad21/ProB_Rad21_ChIP_public_GSM1156667.bw,../bigwigs/H3K27ac/ProB_H3K27ac_ChIP_public_Busslinger.bw				../../projects/HiC_V31_NT_allele/data/endpoints/HiC_explorer_mm10/09loop/merged_ProB_loops_all_resolutions.bedpe	
S3T3_rep1	S3T3	1	S3T3_rep1.qcat.bgz	../bigwigs/ATAC/s3T3_ATAC_rep2.bw,../bigwigs/RNA-seq/S3T3_1_fwd_no_bl_CPM.bw,../bigwigs/RNA-seq/S3T3_1_rev_no_bl_CPM.bw,../bigwigs/CTCF/S3T3_CTCF_ChIP_PC.bw,../bigwigs/Rad21/MEF_Rad21_ChIP_public_GSM2635598.bw,../bigwigs/H3K27ac/S3T3_H3K27ac_ChIP_public_GSM1618720.bw	../hic_files/merged_corrected_KR_s3T3_bs_{res}.cool	../../projects/HiC_V31_NT_allele/data/endpoints/HiC_explorer_mm10/07tad/merged_corrected_KR_s3T3_bs_{res}_tad_score.bm	../comp/merged_corrected_KR_S3T3_bs_{res}_pca1.bw	../../projects/HiC_V31_NT_allele/data/endpoints/HiC_explorer_mm10/09loop/merged_s3T3_loops_all_resolutions.bedpe	
S3T3_rep2	S3T3	2	S3T3_rep2.qcat.bgz	../bigwigs/ATAC/s3T3_ATAC_rep4.bw,../bigwigs/RNA-seq/S3T3_2_fwd_no_bl_CPM.bw,../bigwigs/RNA-seq/S3T3_2_rev_no_bl_CPM.bw,../bigwigs/CTCF/S3T3_CTCF_ChIP_public_GSM879923.bw,../bigwigs/Rad21/MEF_Rad21_ChIP_public_GSM3714932.bw,../bigwigs/H3K27ac/S3T3_H3K27ac_ChIP_public_GSM1618721.bw	../../projects/HiC_V31_NT_allele/data/endpoints/HiC_explorer_mm10/09loop/merged_s3T3_loops_all_resolutions.bedpe				
